State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
SA ,6,967738,138249,2,21, B,WINTHER,Kane,1,0,356,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,22, B,WINTHER,Claire,0,0,46,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,23, C,STANKO,Andrew,1,0,638,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,24, C,WOODARDS,Damian,1,0,19,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,25, D,PHILLIPS,Andrew J,28,19,10919,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,26, D,HILLE,Basil V,0,0,95,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,27, E,LEES,Meg,72,50,11069,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,28, E,JONES,Kirk,0,0,19,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,29, E,MACINTOSH,Jenny,0,0,23,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,30, F,BERTULEIT,Tom,2,1,1203,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,31, F,McDONELL,Amy,0,0,53,0,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,32, G,McEWEN,Anne,0,0,340581,0,Elected, ,2,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,33, G,HURLEY,Annette Kay,43,29,2026,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,34, G,WORTLEY,Dana,7,4,848,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,35, H,MINCHIN,Nick,-456533,-318284,138249,0.697176326793463,Elected, ,1,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,36, H,VANSTONE,Amanda,455572,317614,319769,0.697176326793463,Elected,#,3,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,37, H,FERGUSON,Alan,393,273,630,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,38, H,LAWRIE,Sue,177,123,638,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
SA ,6,967738,138249,2,39, I,NOONE,Brian,41,28,62435,0.697176326793463,, ,0,"McEWEN, A has 202332 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.59407894. 340581 papers are involved from count number(s) 1"
