State,No Of Vacancies,Total Formal Papers,Quota,Count,Ballot Position,Ticket,Surname,GivenNm,Papers,VoteTransferred,ProgressiveVoteTotal,Transfer Value,Status,ChangedFl,Order Elected,Comment
WA ,6,1128155,161166,2,42, K,NEWALL,Christopher,3,2,176,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,43, K,PETERSON,Felicity,3,2,707,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,44, L,HOPKINSON,James,38,26,27378,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,45, L,McLEAN,Ron,4,2,251,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,46, M,GREIG,Brian,23,16,22213,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,47, M,LISOWSKI,Dominika,1,0,209,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,48, M,MEOTTI,Jason,0,0,197,0,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,49, N,ROBINSON,Jean,2,1,2059,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,50, N,SMITH,Stuart,0,0,40,0,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,51, O,McKAY,Lesley,18,12,5598,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,52, O,TAYLOR,Vicky,1,0,94,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,53,UG,EASTON,Julie,4,2,1017,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,54,UG,MARSDEN,Alexander,0,0,132,0,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,55,UG,JARDINE,Jim,1,0,146,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,1001,  ,Exhausted,,21,14,14,0.709243567100067,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,2,1002,  ,Gain/Loss,,0,19,19,0,, ,0,"EVANS, C has 204495 surplus vote(s) to be distributed in count # 3 at a transfer value of 0.55924750. 365661 papers are involved from count number(s) 1"
WA ,6,1128155,161166,3,16, A,CURTIS,Alicia,38,21,4082,0.55924749973336,, ,0,""
WA ,6,1128155,161166,3,17, A,OGLE,Steven,2,1,84,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,18, B,IRVINE,Nigel,57,31,9538,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,19, B,HATCH,Don,11,6,99,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,20, C,ELLISON,Chris,0,0,161166,0,Elected, ,1,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,21, C,CAMPBELL,Ian,0,0,393690,0,Elected, ,3,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,22, C,ADAMS,Judith,18,10,814,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
WA ,6,1128155,161166,3,23, C,STECK,Michelle,5,2,592,0.55924749973336,, ,0,"CAMPBELL, I has 232524 surplus vote(s) to be distributed in count # 4 at a transfer value of 0.41924619. 554624 papers are involved from count number(s) 1, 2"
