2022 Federal Election Senate First Preferences By Polling Place for Division 138 [Event:27966 Phase:FinalResults Generated:2022-07-19T10:30:26 Cycle:06578790-03c6-4cf4-b786-103cfb915abd Created:2022-07-19T10:24:10 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.9.9.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlaceNm,Group,CandidateID,BallotPosition,CandidateDetails,PartyNm,OrdinaryVotes
NSW,138,Page,2043,Alstonville,V,37168,1,"O'NEILL, Deborah",Labor,7
NSW,138,Page,2043,Alstonville,V,37173,2,"McALLISTER, Jenny",Labor,1
NSW,138,Page,2043,Alstonville,V,37180,3,"MORRIS, Shireen",Labor,0
NSW,138,Page,2043,Alstonville,V,37182,4,"MYERS, Mich-Elle Elizabeth",Labor,0
NSW,138,Page,2043,Alstonville,V,37183,5,"ROSE, Kylie Anne",Labor,2
NSW,138,Page,2043,Alstonville,V,37185,6,"WARREN-SMITH, James",Labor,2
NSW,138,Page,2043,Alstonville,W,37967,0,W Above-the-line Votes,UAP,27
NSW,138,Page,2043,Alstonville,W,36373,1,"MARTINO, Domenic Vincent",United Australia Party,2
NSW,138,Page,2043,Alstonville,W,36378,2,"WRIGHTSON, Suellen",United Australia Party,0
NSW,138,Page,2043,Alstonville,W,36380,3,"MOORE, Wayne Leslie",United Australia Party,0
NSW,138,Page,2043,Alstonville,W,36383,4,"MARTIN, Michelle",United Australia Party,0
NSW,138,Page,2043,Alstonville,W,36386,5,"YAP, Johnny",United Australia Party,0
NSW,138,Page,2043,Alstonville,W,36390,6,"LOUGHREY, Kevin Andrew",United Australia Party,2
NSW,138,Page,2043,Alstonville,UG,37600,1,"LIM, Danny",Independent,0
NSW,138,Page,2043,Alstonville,UG,37603,2,"COLLINS, Julie",Independent,0
NSW,138,Page,2043,Alstonville,UG,37639,3,"GRZIC, Warren",Independent,0
NSW,138,Page,2043,Alstonville,UG,37632,4,"LU, Guitang",Independent,0
NSW,138,Page,2043,Alstonville,UG,36068,5,"LAING, William",Independent,1
NSW,138,Page,2043,Alstonville,ZZ,0,99,INFORMAL,,53
NSW,138,Page,2049,Bentley,A,37972,0,A Above-the-line Votes,Animal Justice Party,5
NSW,138,Page,2049,Bentley,A,36425,1,"BROLLO, Darren",Animal Justice Party,0
NSW,138,Page,2049,Bentley,A,36430,2,"POWER, Julie",Animal Justice Party,0
NSW,138,Page,2049,Bentley,B,37966,0,B Above-the-line Votes,TNL,0
NSW,138,Page,2049,Bentley,B,36771,1,"KEEN, Steve",TNL,0
NSW,138,Page,2049,Bentley,B,36773,2,"GREEN, Melissa",TNL,0
NSW,138,Page,2049,Bentley,C,37976,0,C Above-the-line Votes,Citizens Party,1
NSW,138,Page,2049,Bentley,C,37147,1,"LIU, Kingsley",Citizens Party,0
NSW,138,Page,2049,Bentley,C,37148,2,"LAWLER, Ann",Citizens Party,0
NSW,138,Page,2049,Bentley,D,37984,0,D Above-the-line Votes,Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,138,Page,2049,Bentley,D,37149,1,"LAMB, Georgia",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,138,Page,2049,Bentley,D,37152,2,"DE VIVE, Suzanne",Sustainable Australia Party - Stop Overdevelopment / Corruption,0
NSW,138,Page,2049,Bentley,E,37968,0,E Above-the-line Votes,The Greens,22
NSW,138,Page,2049,Bentley,E,36581,1,"SHOEBRIDGE, David",The Greens,1
NSW,138,Page,2049,Bentley,E,36585,2,"COHN, Amanda",The Greens,0
NSW,138,Page,2049,Bentley,E,36634,3,"FLOOD, Rochelle",The Greens,0
NSW,138,Page,2049,Bentley,E,36637,4,"SCOTT, Jane",The Greens,0
NSW,138,Page,2049,Bentley,E,36639,5,"ARYA, Hawa",The Greens,0
NSW,138,Page,2049,Bentley,E,36638,6,"WHEELER, Danielle",The Greens,0
NSW,138,Page,2049,Bentley,F,37969,0,F Above-the-line Votes,,1
NSW,138,Page,2049,Bentley,F,37143,1,"BODDY, Max",,0
NSW,138,Page,2049,Bentley,F,37145,2,"GRENFELL, Oscar",,0
NSW,138,Page,2049,Bentley,G,37983,0,G Above-the-line Votes,"Liberal Party of Australia,NSW Division-National Party of Australia NSW",63
NSW,138,Page,2049,Bentley,G,37567,1,"PAYNE, Marise",Liberal,1
NSW,138,Page,2049,Bentley,G,37576,2,"CADELL, Ross",The Nationals,0
NSW,138,Page,2049,Bentley,G,37577,3,"MOLAN, Jim",Liberal,0
NSW,138,Page,2049,Bentley,G,37578,4,"PENFOLD, Alison Louise",The Nationals,0
NSW,138,Page,2049,Bentley,G,37581,5,"JARVIS, Mary-Lou",Liberal,0
NSW,138,Page,2049,Bentley,G,37584,6,"McGAHEY, Vicky",Liberal,0
NSW,138,Page,2049,Bentley,H,37981,0,H Above-the-line Votes,Reason Australia,1
NSW,138,Page,2049,Bentley,H,37396,1,"CARO, Jane",Reason Australia,0
NSW,138,Page,2049,Bentley,H,37397,2,"MAHER, Hannah Kate",Reason Australia,0
NSW,138,Page,2049,Bentley,H,37402,3,"RYALL, Diana",Reason Australia,0
NSW,138,Page,2049,Bentley,I,37987,0,I Above-the-line Votes,Socialist Alliance,0
NSW,138,Page,2049,Bentley,I,37484,1,"SANCHEZ, Paula",Socialist Alliance,0
NSW,138,Page,2049,Bentley,I,37502,2,"LEKA, Niko",Socialist Alliance,0
NSW,138,Page,2049,Bentley,I,37508,3,"EVANS, Rachel",Socialist Alliance,0
NSW,138,Page,2049,Bentley,J,37988,0,J Above-the-line Votes,Federal ICAC Now,0
